data	close
03-23-2013	4.99
03-23-2013	5.0
03-22-2013	4.48
03-20-2013	4.93
03-20-2013	4.76
03-17-2013	4.5
03-16-2013	5.0
03-16-2013	2.85
03-15-2013	4.94
03-14-2013	5.0
03-14-2013	4.91
03-13-2013	4.49
03-13-2013	2.83
03-12-2013	4.99
03-12-2013	4.68
03-10-2013	4.98
03-08-2013	4.85
03-07-2013	4.75
03-07-2013	4.91
03-06-2013	4.78
03-04-2013	4.48
03-02-2013	4.89
03-02-2013	4.98
03-01-2013	4.69
02-27-2013	3.65
02-27-2013	4.38
02-25-2013	4.64
02-25-2013	4.8
02-24-2013	4.53
02-22-2013	4.5
02-21-2013	4.79
02-20-2013	5.0
02-19-2013	4.59
02-16-2013	4.93
02-15-2013	4.8
02-14-2013	5.0
02-14-2013	4.46
02-14-2013	4.79
02-14-2013	4.66
02-14-2013	4.98
02-13-2013	4.44
02-12-2013	5.0
02-10-2013	4.74
02-08-2013	5.0
02-08-2013	4.68
02-08-2013	4.96
02-06-2013	4.11
02-01-2013	5.0
02-01-2013	4.91
02-01-2013	4.31
01-31-2013	4.88
01-31-2013	4.7
01-31-2013	4.21
01-30-2013	4.98
01-28-2013	4.76
01-28-2013	4.89
01-28-2013	4.86
01-28-2013	5.0
01-27-2013	4.96
01-26-2013	5.0
01-26-2013	4.94
01-26-2013	4.85
01-26-2013	4.71
01-24-2013	4.64
01-24-2013	4.65
01-22-2013	5.0
01-21-2013	4.95
01-21-2013	4.53
01-21-2013	4.33
01-20-2013	4.34
01-20-2013	4.63
01-19-2013	4.71
01-19-2013	4.88
01-18-2013	4.9
01-14-2013	4.39
01-14-2013	4.56
01-13-2013	5.0
01-13-2013	4.71
01-12-2013	4.98
01-12-2013	5.0
01-11-2013	4.64
01-11-2013	5.0
01-11-2013	4.88
01-11-2013	4.96
01-10-2013	4.83
01-10-2013	5.0
01-09-2013	5.0
01-09-2013	3.0
01-09-2013	4.89
01-09-2013	5.0
01-08-2013	4.98
01-08-2013	4.98
01-08-2013	4.65
